2022-01-04,webpage,shortName,totalDebt,totalRevenue,totalCash,debtToEquity,revenueGrowth,operatingMargins,beta,currency,regularMarketPrice,sharesOutstanding,marketCap,industry,sector,country,longBusinessSummary,marketDebtToEquity,betaTax,unleveredBeta
TGTX,quote_summary,"TG Therapeutics, Inc.",28110000.0,4406000.0,356849984.0,9.024,52.42100000000001,-76.85089,1.867012,USD,20.45,142943008,2923184640.0,Biotechnology,Healthcare,United States,"TG Therapeutics, Inc., a commercial stage biopharmaceutical company, focuses on the acquisition, development, and commercialization of novel treatments for B-cell malignancies and autoimmune diseases. Its therapeutic product candidates include Ublituximab, an investigational glycoengineered monoclonal antibody for the treatment of B-cell non-hodgkin lymphoma, chronic lymphocytic leukemia (CLL), and relapsing forms of multiple sclerosis; and Umbralisib, an oral inhibitor of PI3K-delta and CK1-epsilon for the treatment of CLL, marginal zone lymphoma, and follicular lymphoma. The company also develops Cosibelimab, a human monoclonal antibody of IgG1 subtype that binds to programmed death-ligand 1 (PD-L1) and blocks its interactions with PD-1 and B7.1 receptors; TG-1701 is an orally available and covalently-bound Bruton's tyrosine kinase (BTK) inhibitor that exhibits selectivity to BTK compared to ibrutinib in in vitro kinase screening; and TG-1801, a bispecific CD47 and CD19 antibody. In addition, it has various licensed preclinical programs for BET, interleukin-1 receptor associated kinase-4, and GITR; and collaboration agreements with Checkpoint Therapeutics, Inc., Jiangsu Hengrui Medicine Co., Novimmune SA, Ligand Pharmaceuticals Incorporated, and Jubilant Biosys. The company has strategic alliances with LFB Biotechnologies S.A.S; GTC Biotherapeutics; LFB/GTC LLC; Ildong Pharmaceutical Co. Ltd.; and Rhizen Pharmaceuticals, S A. The company is headquartered in New York, New York.",0.009616224584431314,0.24,1.8534662556914605
CCL,quote_summary,Carnival Corporation,32650000384.0,1908000000.0,7798000128.0,219.673,36.853,-3.2877398,2.167272,USD,21.41,981048000,24958920704.0,Travel Services,Consumer Cyclical,United States,"Carnival Corporation & plc operates as a leisure travel company. Its ships visit approximately 700 ports under the Carnival Cruise Line, Princess Cruises, Holland America Line, P&O Cruises (Australia), Seabourn, Costa Cruises, AIDA Cruises, P&O Cruises (UK), and Cunard brand names. The company also provides port destinations and other services, as well as owns and operates hotels, lodges, glass-domed railcars, and motor coaches. It sells its cruises primarily through travel agents and tour operators. The company operates in the United States, Canada, Continental Europe, the United Kingdom, Australia, New Zealand, Asia, and internationally. It operates 87 ships with 223,000 lower berths. The company was incorporated in 1972 and is headquartered in Miami, Florida.",1.3081495298299257,0.24,1.0867911488763247
SNDX,quote_summary,"Syndax Pharmaceuticals, Inc.",21645000.0,13512000.0,236212992.0,10.877,31.651999999999997,-6.6156,1.476883,USD,22.15,53970800,1195453184.0,Biotechnology,Healthcare,United States,"Syndax Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops therapies for the treatment of cancer. Its lead product candidates are SNDX-5613, which is in phase 1/2 clinical trial targeting the binding interaction of Menin with the mixed lineage leukemia 1 protein for the treatment of MLL-rearranged (MLLr) and nucleophosmin 1 mutant acute myeloid leukemia (NPM1c AML); and SNDX-6352 or axatilimab, a monoclonal antibody that blocks the colony stimulating factor 1, or CSF-1 receptor for the treatment of patients with chronic graft versus host disease (cGVHD). The company is also developing Entinostat. It also has collaborative research and development agreement with National Cancer Institute; a clinical trial agreement with Eastern Cooperative Oncology Group; and a license agreement with Kyowa Hakko Kirin Co., Ltd. The company was incorporated in 2005 and is headquartered in Waltham, Massachusetts.",0.01810610427049563,0.24,1.4568360052912204
MRNA,quote_summary,"Moderna, Inc.",583000000.0,11831395328.0,8906000384.0,5.757999999999999,30.65,0.64328,1.3357219999999999,USD,235.05,405449984,95301017600.0,Biotechnology,Healthcare,United States,"Moderna, Inc., a biotechnology company, develops therapeutics and vaccines based on messenger RNA for the treatment of infectious diseases, immuno-oncology, rare diseases, cardiovascular diseases, and auto-immune diseases. As of March 9, 2021, the company had 13 programs in clinical trials and a total of 24 development programs in six modalities comprising prophylactic vaccines, cancer vaccines, intratumoral immuno-oncology, localized regenerative therapeutics, systemic secreted and cell surface therapeutics, and systemic intracellular therapeutics. The company has strategic alliances with AstraZeneca PLC, Merck & Co., Inc., Vertex Pharmaceuticals Incorporated, Vertex Pharmaceuticals (Europe) Limited, the Biomedical Advanced Research and Development Authority, the Defense Advanced Research Projects Agency, the National Institute of Allergy and Infectious Diseases, the National Institutes of Health, the Coalition for Epidemic Preparedness Innovations, Metagenomi, Inc., and Bill & Melinda Gates Foundation. Moderna, Inc. also has collaborations with Lonza Ltd.; Catalent Inc., Laboratorios FarmacÃ©uticos Rovi, S.A., Recipharm, and Lonza Group; Aldevron, LLC; Institute for Life Changing Medicines; and AbCellera Biologics Inc. The company was formerly known as Moderna Therapeutics, Inc. and changed its name to Moderna, Inc. in August 2018. Moderna, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts.",0.00611745828829429,0.24,1.3295406089942319
ALEC,quote_summary,"Alector, Inc.",48621000.0,197944000.0,777849984.0,14.475,29.897,-0.17253,1.086444,USD,20.78,81276096,1688917376.0,Biotechnology,Healthcare,United States,"Alector, Inc., a clinical stage biopharmaceutical company, develops therapies for the treatment of neurodegeneration diseases. Its products include AL001, a humanized recombinant monoclonal antibody, which is in Phase III clinical trial for the treatment of frontotemporal dementia, Alzheimer's, Parkinson's, and amyotrophic lateral sclerosis diseases; and AL101 that is in Phase I clinical trial for the treatment of neurodegenerative diseases, including Alzheimer's and Parkinson's diseases. The company also offers AL002, a product candidate that is in Phase II clinical trial for the treatment of Alzheimer's disease; and AL003, which is in Phase Ib clinical trial for the treatment of Alzheimer's disease. In addition, its products in development stage include AL044 that targets MS4A4A, a risk gene for Alzheimer's disease; and 8 candidates in immuno-neurology/immuno-oncology field comprise ADP012, ADP016, ADP017, ADP023, ADP026, ADP122, ADP009, and ADP022. Alector, Inc. has a collaboration agreement with Adimab, LLC for the research and development of antibodies; and a strategic collaboration agreement with GlaxoSmithKline plc for the development and commercialization of monoclonal antibodies, such as AL001 and AL101 to treat neurodegenerative diseases. The company was founded in 2013 and is headquartered in South San Francisco, California.",0.028788264417737863,0.24,1.0631825430676427
SEER,quote_summary,"Seer, Inc.",0.0,3887000.0,506604000.0,,28.930999999999997,-16.62979,,USD,23.4,57022400,1443978880.0,Biotechnology,Healthcare,United States,"Seer, Inc., a life sciences company, engages in developing and commercializing products for researchers to unlock biological information. The company develops Proteograph Product Suite, an integrated solution that comprises consumables, an automation instrumentation, and software that provides workflow to make proteomic profiling, and the analysis of the samples needed to characterize the nature of the proteome. It intends to sell its products for research purposes, which cover academic institutions, life sciences, and research laboratories, as well as biopharmaceutical and biotechnology companies for non-diagnostic and non-clinical purposes. Seer, Inc. has a collaboration agreement with Discovery Life Sciences, LLC. The company was formerly known as Seer Biosciences, Inc. and changed its name to Seer, Inc. in July 2018. Seer, Inc. was incorporated in 2017 and is headquartered in Redwood City, California.",0.0,0.24,
RIOT,quote_summary,"Riot Blockchain, Inc",8379000.0,127644000.0,71527000.0,1.088,25.323,-0.085839994,4.280519,USD,22.74,116583000,2651097344.0,Software—Application,Technology,United States,"Riot Blockchain, Inc., together with its subsidiaries, focuses on cryptocurrency mining operation in North America. The company primarily focuses on bitcoin mining. As of December 31, 2020, it operated a fleet of 7,043 miners. The company was formerly known as Bioptix, Inc. and changed its name to Riot Blockchain, Inc. in October 2017. Riot Blockchain, Inc. was incorporated in 2000 and is based in Castle Rock, Colorado.",0.003160578022139952,0.24,
OSW,quote_summary,OneSpaWorld Holdings Limited,233032992.0,62211000.0,32682000.0,78.567,23.391,-1.0523200000000001,3.346285,USD,10.5,74525904,962969728.0,Leisure,Consumer Cyclical,Bahamas,"OneSpaWorld Holdings Limited operates health and wellness centers onboard cruise ships and at destination resorts worldwide. Its health and wellness centers offer services, such as traditional body, salon, and skin care services and products; self-service fitness facilities, specialized fitness classes, and personal fitness training; pain management, detoxifying programs, and body composition analyses; weight management programs and products; and medi-spa services. The company also provides its guests access to beauty and wellness brands, including ELEMIS, KÃ©rastase, and Dysport, with various brands offered exclusively in the cruise market. As of March 3, 2021, it offered health, wellness, fitness, and beauty services, treatments, and products onboard 159 cruise ships and at 53 destination resorts. The company is based in Nassau, Bahamas.",0.24199409932022287,0.24,
NCLH,quote_summary,Norwegian Cruise Line Holdings ,13108966400.0,170128000.0,1934816000.0,454.661,22.486,-14.18175,2.698181,USD,22.18,416892000,9246664704.0,Travel Services,Consumer Cyclical,United States,"Norwegian Cruise Line Holdings Ltd., together with its subsidiaries, operates as a cruise company in the North America, Europe, the Asia-Pacific, and internationally. The company operates the Norwegian Cruise Line, Oceania Cruises, and Regent Seven Seas Cruises brands. It offers itineraries ranging from three days to a 180-days calling on various locations, including destinations in Scandinavia, Russia, the Mediterranean, the Greek Isles, Alaska, Canada and New England, India and the rest of Asia, Tahiti and the South Pacific, Australia and New Zealand, Africa, South America, the Panama Canal, and the Caribbean. As of December 31, 2020, the company had 28 ships with approximately 59,150 berths. It distributes its products through retail/travel advisor and onboard cruise sales channels, as well as meetings, incentives, and charters. The company was founded in 1966 and is based in Miami, Florida.",1.417696739271752,0.24,1.2987949751008794
EOSE,quote_summary,"Eos Energy Enterprises, Inc.",113351000.0,1678000.0,144194000.0,194.028,19.514,-49.49702,,USD,7.6,53698800,408110880.0,Electrical Equipment & Parts,Industrials,United States,"Eos Energy Enterprises, Inc. designs, manufactures, and deploys battery storage solutions for utility, commercial and industrial, and renewable energy markets in the United States. The company offers stationary battery storage solutions. Its flagship product is the Eos Znyth DC battery system designed to meet the requirements of the grid-scale energy storage market. The company was founded in 2008 and is headquartered in Edison, New Jersey.",0.2777455969808989,0.24,
AGEN,quote_summary,Agenus Inc.,54596000.0,306668000.0,261528000.0,153.562,16.055,0.22228001,1.1345450000000001,USD,3.47,256831008,891203584.0,Biotechnology,Healthcare,United States,"Agenus Inc., a clinical-stage immuno-oncology company, discovers and develops immuno-oncology products in the United States and internationally. The company offers Retrocyte Display, an antibody expression platform for the identification of fully human and humanized monoclonal antibodies; and display technologies. It develops vaccine programs comprising Prophage vaccine candidate; AutoSynVax, a synthetic neo-antigen; PhosPhoSynVax, a vaccine candidate to treat tumor; and QS-21 Stimulon adjuvant, a saponin-based vaccine adjuvant. The company also develops Balstilimab, an anti-PD-1 antagonist that is in Phase II clinical trial to treat second line cervical cancer; AGEN1181, an anti-CTLA-4 monospecific antibody that is in Phase 1/2 clinical trial for dose escalation study; AGEN2373, an anti-CD137 monospecific antibody that is in Phase 1 clinical trial; AGEN1223, a novel bispecific antibody to deplete regulatory T cells, which is in a Phase 1 clinical trial; AGEN-1423, a tumor microenvironment conditioning anti-CD73/TGFÃ TRAP bi-functional antibody that has completed Phase 1 clinical trial; AGEN1777, an anti-TIGIT bispecific antibodies; and AGEN1327, an anti-TIGIT monospecific antibody. In addition, it develops INCAGN1876, an anti-GITR monospecific antibody; INCAGN1949, an anti-OX40 monospecific antibody; INCAGN2390, an anti-TIM-3 monospecific antibody; INCAGN2385, an anti-LAG-3 monospecific antibody; and MK-4830, a monospecific antibody targeting ILT4, as well as AGENT 797, an iNKT cells that is in Phase 1 clinical trial for the treatment of COVID-19-related pneumonia; and in preclinical stage to treat multiple myeloma/B cell malignancies and solid tumors. The company has collaborations with Incyte Corporation, Merck Sharpe & Dohme, Recepta Biopharma SA, and Gilead Sciences, Inc. The company was formerly known as Antigenics Inc. and changed its name to Agenus Inc. in January 2011. Agenus Inc. was founded in 1994 and is headquartered in Lexington, Massachusetts.",0.06126097446214938,0.24,1.0840723885101906
LYV,quote_summary,"Live Nation Entertainment, Inc.",7292478976.0,3802660096.0,4628879872.0,3306.1820000000002,13.665999999999999,-0.18378,1.290909,USD,121.14,224660000,27215312896.0,Entertainment,Communication Services,United States,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com as well as provides ticket resale services. This segment sells tickets for its events, as well as for third-party clients in various live event categories, such as arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters through websites, mobile apps, ticket outlets, and telephone call centers. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage, promotional programs, rich media offering that include advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. As of December 31, 2020, it owned, operated, or leased 155 entertainment venues in North America and 76 entertainment venues internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",0.26795499298014025,0.24,1.072499073832088
CLSK,quote_summary,"CleanSpark, Inc.",2363626.0,49438116.0,18795708.0,0.773,12.885,-0.31739,3.8566230000000004,USD,9.59,41447800,397484416.0,Software—Application,Technology,United States,"CleanSpark, Inc. provides bitcoin mining and energy technology solutions worldwide. It operates in two segments, Digital Currency Mining and Energy. The Digital Currency Mining segment engages in mining of bitcoin. The energy segment provides engineering, design and software, custom hardware, open automated demand response, solar, and energy storage solutions for microgrids and distributed energy systems to military, commercial, and residential customers; and develops platforms that enables designing, building, operating, and managing of energy assets. This segment also offers microgrid energy modeling, energy market communications, and energy management solutions comprising mPulse and mVoult, which are control platforms that enables integration and optimization of multiple energy sources; Canvas, a middleware for grid operators and aggregators to administrate load shifting programs; Plaid, a middleware for controls and Internet-of-Things products companies to participate in load shifting programs; and mVSO, an energy modeling software for internal microgrid design, as well as owns gasification energy technologies for various applications, such as feedstock for the generation of di-methyl ether. In addition, it provides design, software development, and other technology-based consulting services; data center services, including rack space, power, and equipment; and various cloud services, such as virtual, virtual storage, and data backup services. The company was formerly known as Stratean Inc. and changed its name to CleanSpark, Inc. in November 2016. CleanSpark, Inc. was incorporated in 1987 and is headquartered in Henderson, Nevada.",0.005946462062049749,0.24,
CNK,quote_summary,Cinemark Holdings Inc Cinemark ,3968397056.0,942076032.0,543012992.0,1259.98,11.255999999999998,-0.48451000000000005,2.4571419999999997,USD,17.02,119626000,2036034560.0,Entertainment,Communication Services,United States,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of October 8, 2021, it operated 521 theatres with 5,864 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",1.949081382980061,0.24,0.9902632357871016
DM,quote_summary,"Desktop Metal, Inc.",12189000.0,64097000.0,423948000.0,1.355,9.066,-2.01208,0.37588,USD,5.26,311014016,1635933824.0,Computer Hardware,Technology,United States,"Desktop Metal, Inc. manufactures and sells additive manufacturing solutions for engineers, designers, and manufacturers in the Americas, Europe, the Middle East, Africa, and the Asia- Pacific. The company offers Production System, an industrial manufacturing solution; Shop System, a turnkey binder jetting platform for machine and job shops; Studio System, an office metal 3D printing system; and Fiber, a desktop 3D printer. It serves automotive, aerospace, healthcare, consumer products, heavy industry, machine design, and research and development industries. The company was founded in 2015 and is headquartered in Burlington, Massachusetts.",0.007450790381115074,0.24,0.3737635263976556
APLS,quote_summary,"Apellis Pharmaceuticals, Inc.",211832000.0,256272992.0,430311008.0,,7.746,-1.23599,1.555742,USD,48.77,97357904,4748145152.0,Biotechnology,Healthcare,United States,"Apellis Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development of therapeutic compounds through the inhibition of the complement system for autoimmune and inflammatory diseases. Its lead product candidate is pegcetacoplan that is in Phase III clinical trials for the treatment of geographic atrophy in age-related macular degeneration and paroxysmal nocturnal hemoglobinuria (PNH) diseases; cold agglutinin disease; C3 glomerulopathy; and other glomerular diseases, such as IgA nephropathy, primary membranous nephropathy, and lupus nephritis. The company also develops APL-9, which is in single ascending dose Phase I randomized, double-blind, and placebo-controlled clinical trials for the prevention of immune system activation coincident with adeno-associated virus for intravenous administration, as well as is in Phase I/II clinical trial for acute respiratory distress syndrome. It has a collaboration and license agreement with Swedish Orphan Biovitrum AB (publ) to co-develop pegcetacoplan; and a research collaboration with Beam Therapeutics Inc. focused on the use of Beam's base editing technology to discover new treatments for complement-driven diseases. The company was incorporated in 2009 and is based in Waltham, Massachusetts.",0.04461363189597789,0.24,1.5047223422026799
